Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Frank Lampard,eng ENG,MF,38,37,3.0,6.0,2002-2003,268df6b1,Chelsea,"3,307",36.7,3.0,0.0,122.0,6.0,6131.0,Chelsea
,William Gallas,fr FRA,DF,38,36,1.0,4.0,2002-2003,286fb7e0,Chelsea,"3,241",36.0,5.0,0.0,122.0,4.0,,Chelsea
,Carlo Cudicini,it ITA,GK,36,36,0.0,0.0,2002-2003,df77463a,Chelsea,"3,240",36.0,0.0,0.0,122.0,9.0,6132.0,Chelsea
,Mario Melchiot,nl NED,DF,34,31,2.0,0.0,2002-2003,1f5e2ed9,Chelsea,"2,829",31.4,4.0,0.0,122.0,11.0,6133.0,Chelsea
,Gianfranco Zola,it ITA,FW,38,30,7.0,14.0,2002-2003,59883773,Chelsea,"2,695",29.9,0.0,0.0,122.0,9.0,6134.0,Chelsea
,Marcel Desailly,fr FRA,"DF,MF",31,30,0.0,2.0,2002-2003,9dfb97aa,Chelsea,"2,694",29.9,6.0,0.0,122.0,4.0,6135.0,Chelsea
,Jimmy Floyd Hasselbaink,nl NED,FW,36,27,7.0,12.0,2002-2003,db8a04d1,Chelsea,"2,382",26.5,4.0,0.0,122.0,11.0,6136.0,Chelsea
,Graeme Le Saux,eng ENG,DF,28,27,4.0,2.0,2002-2003,0bd42c09,Chelsea,"2,180",24.2,4.0,0.0,122.0,6.0,6137.0,Chelsea
,Emmanuel Petit,fr FRA,"DF,MF",24,23,5.0,1.0,2002-2003,291358c4,Chelsea,"2,056",22.8,6.0,0.0,122.0,4.0,6138.0,Chelsea
,Eiður Guðjohnsen,is ISL,"FW,MF",35,20,2.0,10.0,2002-2003,32fc9ff2,Chelsea,"2,027",22.5,1.0,0.0,122.0,40.0,,Chelsea
,Jesper Grønkjær,dk DEN,"FW,MF",30,20,4.0,4.0,2002-2003,fe43b0f,Chelsea,"1,735",19.3,5.0,0.0,122.0,7.0,,Chelsea
,Jody Morris,eng ENG,MF,25,19,1.0,0.0,2002-2003,c5002fd1,Chelsea,"1,798",20.0,3.0,0.0,122.0,6.0,6139.0,Chelsea
,Enrique de Lucas,es ESP,"FW,MF",25,17,0.0,0.0,2002-2003,61cc61,Chelsea,"1,550",17.2,7.0,0.0,122.0,1.0,,Chelsea
,Celestine Babayaro,ng NGA,"DF,MF",19,16,0.0,1.0,2002-2003,dd4e6b97,Chelsea,"1,478",16.4,3.0,1.0,122.0,52.0,,Chelsea
,John Terry,eng ENG,DF,20,16,2.0,3.0,2002-2003,68517cfd,Chelsea,"1,415",15.7,3.0,0.0,122.0,6.0,6140.0,Chelsea
,Mario Stanić,hr CRO,"FW,MF",18,13,2.0,4.0,2002-2003,c5c88be5,Chelsea,"1,019",11.3,4.0,0.0,122.0,16.0,6141.0,Chelsea
,Boudewijn Zenden,nl NED,"DF,FW",21,11,5.0,1.0,2002-2003,4e27a622,Chelsea,988,11.0,2.0,0.0,122.0,11.0,6142.0,Chelsea
,Albert Ferrer,es ESP,DF,3,3,0.0,0.0,2002-2003,70c5725,Chelsea,225,2.5,0.0,0.0,122.0,1.0,6143.0,Chelsea
,Carlton Cole,eng ENG,FW,13,2,2.0,3.0,2002-2003,51b2effb,Chelsea,388,4.3,3.0,0.0,122.0,6.0,6144.0,Chelsea
,Ed de Goey,nl NED,GK,2,2,0.0,0.0,2002-2003,5a7b2f65,Chelsea,180,2.0,0.0,0.0,122.0,11.0,6145.0,Chelsea
,Robert Huth,de GER,DF,2,2,0.0,0.0,2002-2003,0bd1ea64,Chelsea,180,2.0,1.0,0.0,122.0,13.0,6146.0,Chelsea
,Filipe Oliveira,pt POR,"DF,MF",3,0,0.0,0.0,2002-2003,d0351477,Chelsea,4,0.0,0.0,0.0,122.0,3.0,6147.0,Chelsea
,Joe Keenan,eng ENG,MF,1,0,0.0,0.0,2002-2003,67c6886,Chelsea,1,0.0,0.0,0.0,122.0,6.0,6148.0,Chelsea
,﻿Frank Lampard,eng ENG,MF,38,38,5.0,10.0,2003-2004,268df6b1,Chelsea,"3,374",37.5,3.0,0.0,122.0,6.0,6131.0,Chelsea
,John Terry,eng ENG,DF,33,33,2.0,2.0,2003-2004,68517cfd,Chelsea,"2,965",32.9,5.0,0.0,122.0,6.0,6140.0,Chelsea
,Wayne Bridge,eng ENG,DF,33,33,4.0,1.0,2003-2004,86b982bc,Chelsea,"2,964",32.9,1.0,0.0,122.0,6.0,6149.0,Chelsea
,Claude Makélélé,fr FRA,MF,30,26,0.0,0.0,2003-2004,c27d01de,Chelsea,"2,398",26.6,2.0,0.0,122.0,4.0,8.0,Chelsea
,Carlo Cudicini,it ITA,GK,26,26,0.0,0.0,2003-2004,df77463a,Chelsea,"2,340",26.0,0.0,0.0,122.0,9.0,6132.0,Chelsea
,William Gallas,fr FRA,DF,29,23,1.0,0.0,2003-2004,286fb7e0,Chelsea,"2,091",23.2,1.0,0.0,122.0,4.0,,Chelsea
,Jimmy Floyd Hasselbaink,nl NED,FW,30,22,5.0,13.0,2003-2004,db8a04d1,Chelsea,"1,990",22.1,6.0,0.0,122.0,11.0,6136.0,Chelsea
,Adrian Mutu,ro ROU,"FW,MF",25,21,4.0,6.0,2003-2004,7af7fbd8,Chelsea,"1,759",19.5,5.0,0.0,122.0,51.0,6150.0,Chelsea
,Mario Melchiot,nl NED,DF,23,20,0.0,2.0,2003-2004,1f5e2ed9,Chelsea,"1,838",20.4,1.0,0.0,122.0,11.0,6133.0,Chelsea
,Geremi,cm CMR,"DF,MF",25,19,4.0,1.0,2003-2004,3571f3d1,Chelsea,"1,745",19.4,0.0,1.0,122.0,36.0,,Chelsea
,Jesper Grønkjær,dk DEN,"FW,MF",31,19,2.0,2.0,2003-2004,fe43b0f,Chelsea,"1,656",18.4,5.0,0.0,122.0,7.0,,Chelsea
,Joe Cole,eng ENG,MF,35,18,5.0,1.0,2003-2004,2c2f117b,Chelsea,"1,648",18.3,3.0,0.0,122.0,6.0,6151.0,Chelsea
,Eiður Guðjohnsen,is ISL,"FW,MF",26,17,2.0,6.0,2003-2004,32fc9ff2,Chelsea,"1,557",17.3,1.0,1.0,122.0,40.0,,Chelsea
,Glen Johnson,eng ENG,DF,19,17,1.0,3.0,2003-2004,8cceca90,Chelsea,"1,505",16.7,3.0,0.0,122.0,6.0,6152.0,Chelsea
,Damien Duff,ie IRL,"FW,MF",23,17,9.0,5.0,2003-2004,057a6936,Chelsea,"1,459",16.2,0.0,0.0,122.0,99.0,,Chelsea
,Marcel Desailly,fr FRA,"DF,MF",15,15,1.0,0.0,2003-2004,9dfb97aa,Chelsea,"1,331",14.8,0.0,0.0,122.0,4.0,6135.0,Chelsea
,Hernán Crespo,ar ARG,FW,19,13,0.0,10.0,2003-2004,09089343,Chelsea,"1,146",12.7,1.0,0.0,122.0,5.0,,Chelsea
,Robert Huth,de GER,DF,16,8,0.0,0.0,2003-2004,0bd1ea64,Chelsea,788,8.8,7.0,1.0,122.0,13.0,6146.0,Chelsea
,Marco Ambrosio,it ITA,GK,8,8,0.0,0.0,2003-2004,055b2cff,Chelsea,720,8.0,0.0,0.0,122.0,9.0,6154.0,Chelsea
,Scott Parker,eng ENG,MF,11,7,2.0,1.0,2003-2004,65faf2a1,Chelsea,603,6.7,2.0,0.0,122.0,6.0,,Chelsea
,Juan Sebastián Verón,ar ARG,MF,7,5,0.0,1.0,2003-2004,f11a57c1,Chelsea,483,5.4,0.0,0.0,122.0,5.0,,Chelsea
,Celestine Babayaro,ng NGA,"DF,MF",6,5,2.0,1.0,2003-2004,dd4e6b97,Chelsea,440,4.9,0.0,0.0,122.0,52.0,,Chelsea
,Neil Sullivan,sct SCO,GK,4,4,0.0,0.0,2003-2004,2ea16583,Chelsea,360,4.0,0.0,0.0,122.0,67.0,6155.0,Chelsea
,Emmanuel Petit,fr FRA,"DF,MF",4,3,1.0,0.0,2003-2004,291358c4,Chelsea,264,2.9,1.0,0.0,122.0,4.0,6138.0,Chelsea
,Alexis Nicolas,cy CYP,MF,2,1,0.0,0.0,2003-2004,18d30fa,Chelsea,91,1.0,0.0,0.0,122.0,63.0,6156.0,Chelsea
,Mario Stanić,hr CRO,"FW,MF",2,0,0.0,0.0,2003-2004,c5c88be5,Chelsea,25,0.3,0.0,0.0,122.0,16.0,6141.0,Chelsea
,Filipe Oliveira,pt POR,"DF,MF",1,0,0.0,0.0,2003-2004,d0351477,Chelsea,11,0.1,0.0,0.0,122.0,3.0,6147.0,Chelsea
,﻿Frank Lampard,eng ENG,MF,38,38,18.0,13.0,2004-2005,268df6b1,Chelsea,"3,413",37.9,6.0,0.0,122.0,6.0,6131.0,Chelsea
,Claude Makélélé,fr FRA,MF,36,36,2.0,1.0,2004-2005,c27d01de,Chelsea,"3,240",36.0,6.0,0.0,122.0,4.0,8.0,Chelsea
,John Terry,eng ENG,DF,36,36,1.0,3.0,2004-2005,68517cfd,Chelsea,"3,240",36.0,7.0,0.0,122.0,6.0,6140.0,Chelsea
,Petr Čech,cz CZE,GK,35,35,0.0,0.0,2004-2005,71672fa0,Chelsea,"3,150",35.0,0.0,0.0,122.0,84.0,,Chelsea
,Eiður Guðjohnsen,is ISL,"FW,MF",37,30,6.0,12.0,2004-2005,32fc9ff2,Chelsea,"2,507",27.9,1.0,0.0,122.0,40.0,,Chelsea
,Paulo Ferreira,pt POR,DF,29,29,0.0,0.0,2004-2005,4ca16d65,Chelsea,"2,610",29.0,2.0,0.0,122.0,3.0,6157.0,Chelsea
,William Gallas,fr FRA,DF,28,28,1.0,2.0,2004-2005,286fb7e0,Chelsea,"2,446",27.2,1.0,0.0,122.0,4.0,,Chelsea
,Damien Duff,ie IRL,"FW,MF",30,28,7.0,6.0,2004-2005,057a6936,Chelsea,"2,396",26.6,1.0,0.0,122.0,99.0,,Chelsea
,Ricardo Carvalho,pt POR,DF,25,22,2.0,1.0,2004-2005,57e7081e,Chelsea,"1,969",21.9,2.0,0.0,122.0,3.0,89.0,Chelsea
