Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
49,Adam Johnson,/en/players/1ba61951/Adam-Johnson,1ba61951,Adam-Johnso,eng ENG,MF,Middlesbrough
50,Andrew Taylor,/en/players/fb67faf8/Andrew-Taylor,fb67faf8,Andrew-Taylo,eng ENG,"DF,MF",Middlesbrough
51,David Wheater,/en/players/2ad3ea29/David-Wheater,2ad3ea29,David-Wheat,eng ENG,DF,Middlesbrough
52,Abel Xavier,/en/players/1c4eb067/Abel-Xavier,1c4eb067,Abel-Xavi,pt POR,DF,Middlesbrough
53,Ross Turnbull,/en/players/6db380ef/Ross-Turnbull,6db380ef,Ross-Turnbu,eng ENG,GK,Middlesbrough
54,Josh Walker,/en/players/32cddff5/Josh-Walker,32cddff5,Josh-Walk,eng ENG,MF,Middlesbrough
55,Tom Craddock,/en/players/3bfd4247/Tom-Craddock,3bfd4247,Tom-Craddock,eng ENG,FW,Middlesbrough
56,Julio Arca,/en/players/7ac25aa9/Julio-Arca,7ac25aa9,Julio-Arc,ar ARG,"DF,MF",Middlesbrough
57,Jason Euell,/en/players/d97fe8bd/Jason-Euell,d97fe8bd,Jason-Eu,jm JAM,"FW,MF",Middlesbrough
58,Robert Huth,/en/players/0bd1ea64/Robert-Huth,0bd1ea64,Robert-Huth,de GER,DF,Middlesbrough
59,Lee Dong-gook,/en/players/1c6f28eb/Lee-Dong-gook,1c6f28eb,Lee-Dong-gook,kr KOR,FW,Middlesbrough
60,Luke Young,/en/players/409a29d7/Luke-Young,409a29d7,Luke-Young,eng ENG,DF,Middlesbrough
61,Tuncay Şanlı,/en/players/e7a2dc67/Tuncay-Sanli,7a2dc67,Tuncay-Sanli,tr TUR,"FW,MF",Middlesbrough
62,Jérémie Aliadière,/en/players/68ef3d96/Jeremie-Aliadiere,68ef3d96,Jeremie-Aliadi,fr FRA,"FW,MF",Middlesbrough
63,Gary O'Neil,/en/players/754d4ac4/Gary-ONeil,754d4ac4,Gary-ONei,eng ENG,MF,Middlesbrough
64,Jonathan Woodgate,/en/players/9482a3bd/Jonathan-Woodgate,9482a3bd,Jonathan-Woodgat,eng ENG,DF,Middlesbrough
65,Mido,/en/players/91d87d09/Mido,91d87d09,Mido,eg EGY,FW,Middlesbrough
66,Afonso Alves,/en/players/1e347c5d/Afonso-Alves,1e347c5d,Afonso-Alv,br BRA,"FW,MF",Middlesbrough
67,Jonathan Grounds,/en/players/21a02da8/Jonathan-Grounds,21a02da8,Jonathan-Ground,eng ENG,DF,Middlesbrough
68,Mohamed Shawky,/en/players/4090fcae/Mohamed-Shawky,4090fcae,Mohamed-Shawk,eg EGY,MF,Middlesbrough
69,Ben Hutchinson,/en/players/58bc340a/Ben-Hutchinson,58bc340a,Ben-Hutchinso,eng ENG,FW,Middlesbrough
70,Seb Hines,/en/players/5a2cabda/Seb-Hines,5a2cabda,Seb-Hi,eng ENG,"DF,MF",Middlesbrough
71,Justin Hoyte,/en/players/b57b7582/Justin-Hoyte,b57b7582,Justin-Hoyt,tt TRI,DF,Middlesbrough
72,Marlon King,/en/players/0fc9488a/Marlon-King,0fc9488a,Marlon-King,jm JAM,FW,Middlesbrough
73,Marvin Emnes,/en/players/a5900d91/Marvin-Emnes,5900d91,Marvin-Em,nl NED,"FW,MF",Middlesbrough
74,Joe Bennett,/en/players/dc936144/Joe-Bennett,dc936144,Joe-Bennett,eng ENG,"DF,MF",Middlesbrough
75,John Johnson,/en/players/63cc3cfb/John-Johnson,63cc3cfb,John-Johnso,eng ENG,DF,Middlesbrough
76,Jonathan Franks,/en/players/e2fe6cec/Jonathan-Franks,2fe6cec,Jonathan-Frank,eng ENG,"FW,MF",Middlesbrough
77,Rhys Williams,/en/players/a65030a2/Rhys-Williams,65030a2,Rhys-William,au AUS,"DF,MF",Middlesbrough
78,Leroy Lita,/en/players/238f467d/Leroy-Lita,238f467d,Leroy-Lit,eng ENG,FW,Middlesbrough
79,Danny Coyne,/en/players/34d03089/Danny-Coyne,34d03089,Danny-Co,wls WAL,GK,Middlesbrough
80,Barry Robson,/en/players/c0fdb9cb/Barry-Robson,c0fdb9cb,Barry-Robso,sct SCO,MF,Middlesbrough
81,Stephen McManus,/en/players/a35d4321/Stephen-McManus,35d4321,Stephen-McManu,sct SCO,DF,Middlesbrough
82,Chris Killen,/en/players/87b7b50e/Chris-Killen,87b7b50e,Chris-Ki,nz NZL,FW,Middlesbrough
83,Sean St Ledger,/en/players/514bda4f/Sean-St-Ledger,514bda4f,Sean-St-Ledg,ie IRL,DF,Middlesbrough
