Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
47,Clément Martinez,/en/players/6579c79c/Clement-Martinez,6579c79c,Clement-Martinez,fr FRA,MF,Arles-Avignon
48,﻿Ludovic Butelle,/en/players/26975a92/Ludovic-Butelle,26975a92,Ludovic-But,fr FRA,GK,Arles-Avignon
49,Ousmane N'Diaye,/en/players/2bcabc6e/Ousmane-NDiaye,2bcabc6e,Ousmane-NDi,sn SEN,DF,Arles-Avignon
50,Yunis Abdelhamid,/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Yunis-Abdelhamid,ma MAR,DF,Arles-Avignon
51,Luigi Pieroni,/en/players/9094c16e/Luigi-Pieroni,9094c16e,Luigi-Pieroni,be BEL,FW,Arles-Avignon
52,Vincent Acapandié,/en/players/de81b6e0/Vincent-Acapandie,de81b6e0,Vincent-Acapandi,fr FRA,DF,Arles-Avignon
53,Haminu Draman,/en/players/65410257/Haminu-Draman,65410257,Haminu-Dram,gh GHA,MF,Arles-Avignon
54,Téji Savanier,/en/players/6bde367b/Teji-Savanier,6bde367b,Teji-Savani,fr FRA,"FW,MF",Arles-Avignon
55,Mamoudou Mara,/en/players/fe830175/Mamoudou-Mara,fe830175,Mamoudou-M,gn GUI,DF,Arles-Avignon
56,Christophe Landrin,/en/players/06fdad54/Christophe-Landrin,06fdad54,Christophe-Landri,fr FRA,MF,Arles-Avignon
57,Khaled Souissi,/en/players/a57b10f3/Khaled-Souissi,57b10f3,Khaled-Souissi,tn TUN,DF,Arles-Avignon
58,Jonathan Roufosse,/en/players/01533f53/Jonathan-Roufosse,01533f53,Jonathan-Roufo,fr FRA,MF,Arles-Avignon
59,Mehdi Courgnaud,/en/players/bb0db0fd/Mehdi-Courgnaud,bb0db0fd,Mehdi-Courgnaud,fr FRA,"FW,MF",Arles-Avignon
60,David Gigliotti,/en/players/5bf469be/David-Gigliotti,5bf469be,David-Gigliotti,fr FRA,FW,Arles-Avignon
61,Hugo Rodriguez,/en/players/feb6c954/Hugo-Rodriguez,feb6c954,Hugo-Rodriguez,fr FRA,MF,Arles-Avignon
62,Jordan Galtier,/en/players/27014e41/Jordan-Galtier,27014e41,Jordan-Galti,fr FRA,MF,Arles-Avignon
63,﻿Sébastien Cantini,/en/players/710d430b/Sebastien-Cantini,710d430b,Sebastien-Cantini,fr FRA,DF,Arles-Avignon
64,Erwan Quintin,/en/players/5eb8d9d6/Erwan-Quintin,5eb8d9d6,Erwan-Quinti,fr FRA,"DF,MF",Arles-Avignon
65,Julien Cardy,/en/players/ca57c481/Julien-Cardy,ca57c481,Julien-Card,fr FRA,MF,Arles-Avignon
66,Ben Sangaré,/en/players/969832d5/Ben-Sangare,969832d5,Ben-Sang,sn SEN,"FW,MF",Arles-Avignon
67,Raphaël Cacérès,/en/players/07186947/Raphael-Caceres,07186947,Raphael-Cac,fr FRA,"DF,FW",Arles-Avignon
68,David Suarez,/en/players/f4e64096/David-Suarez,f4e64096,David-Suarez,fr FRA,FW,Arles-Avignon
69,Chaouki Ben Saada,/en/players/61d618fa/Chaouki-Ben-Saada,61d618fa,Chaouki-Ben-Saad,tn TUN,"FW,MF",Arles-Avignon
70,Chaher Zarour,/en/players/cc478737/Chaher-Zarour,cc478737,Chaher-Zarou,fr FRA,DF,Arles-Avignon
71,Jordi Delclos,/en/players/37a35368/Jordi-Delclos,37a35368,Jordi-Delclo,fr FRA,MF,Arles-Avignon
72,Jonathan Tinhan,/en/players/871fc5f8/Jonathan-Tinhan,871fc5f8,Jonathan-Tinh,bj BEN,"FW,MF",Arles-Avignon
73,Éric Marester,/en/players/505c49d1/Eric-Marester,505c49d1,Eric-Marest,fr FRA,DF,Arles-Avignon
