,Player,Link,Player_id,Player_name,Nationality,Position
54,Nam Tae-hee,/en/players/484e9d32/Nam-Tae-hee,484e9d32,Nam-Tae-h,kr KOR,MF
55,Luigi Pieroni,/en/players/9094c16e/Luigi-Pieroni,9094c16e,Luigi-Pieroni,be BEL,FW
56,Nicolas Isimat-Mirin,/en/players/14e8e9d7/Nicolas-Isimat-Mirin,14e8e9d7,Nicolas-Isimat-Miri,fr FRA,DF
57,Vincent Aboubakar,/en/players/8637e09a/Vincent-Aboubakar,8637e09a,Vincent-Aboubak,cm CMR,FW
58,Nicolas Pallois,/en/players/779847d6/Nicolas-Pallois,779847d6,Nicolas-Palloi,fr FRA,DF
59,Guillaume Loriot,/en/players/e4fec8fa/Guillaume-Loriot,4fec8fa,Guillaume-Loriot,fr FRA,MF
60,Steeven Langil,/en/players/5086c324/Steeven-Langil,5086c324,Steeven-Langi,fr FRA,"FW,MF"
61,Kama Massampu,/en/players/566abe5b/Kama-Massampu,566abe5b,Kama-Massampu,fr FRA,FW
62,Lilian Bochet,/en/players/53452521/Lilian-Bochet,53452521,Lilian-Bochet,fr FRA,MF
63,Gil,/en/players/31edef00/Gil,31edef00,Gi,br BRA,DF
64,Mathieu Dossevi,/en/players/6421dd73/Mathieu-Dossevi,6421dd73,Mathieu-Dossevi,tg TOG,"FW,MF"
65,Pape Abdou Camara,/en/players/5a4728b8/Pape-Abdou-Camara,5a4728b8,Pape-Abdou-Cam,sn SEN,MF
66,Dusan Djurić,/en/players/b7d4b2d5/Dusan-Djuric,b7d4b2d5,Dusan-Djuric,se SWE,MF
67,Kenny Lala,/en/players/770d7eb8/Kenny-Lala,770d7eb8,Kenny-L,fr FRA,"DF,MF"
68,Marco da Silva,/en/players/2e328792/Marco-da-Silva,2e328792,Marco-da-Silv,fr FRA,MF
69,Loris Néry,/en/players/caede38a/Loris-Nery,caede38a,Loris-N,fr FRA,DF
70,Anthony Le Tallec,/en/players/5d81fb2c/Anthony-Le-Tallec,5d81fb2c,Anthony-Le-Tallec,fr FRA,"FW,MF"
71,Maor Melikson,/en/players/ffc3c7ba/Maor-Melikson,ffc3c7ba,Maor-Melikso,il ISR,MF
72,Lindsay Rose,/en/players/6ee683f5/Lindsay-Rose,6ee683f5,Lindsay-Ro,mu MRI,DF
73,Younousse Sankharé,/en/players/c650629d/Younousse-Sankhare,c650629d,Younousse-Sankh,sn SEN,MF
74,Opa Nguette,/en/players/75a63397/Opa-Nguette,75a63397,Opa-Nguett,sn SEN,"FW,MF"
75,﻿Tongo Doumbia,/en/players/29a506e1/Tongo-Doumbia,29a506e1,Tongo-Doumbi,ml MLI,MF
76,Gary Kagelmacher,/en/players/a2e9f252/Gary-Kagelmacher,2e9f252,Gary-Kagelmach,uy URU,DF
77,Arthur Masuaku,/en/players/57df7a11/Arthur-Masuaku,57df7a11,Arthur-Masuaku,cd COD,"DF,MF"
78,Eloge Enza Yamissi,/en/players/65dfd8d6/Eloge-Enza-Yamissi,65dfd8d6,Eloge-Enza-Yamissi,cf CTA,"DF,MF"
79,Saliou Ciss,/en/players/2235f850/Saliou-Ciss,2235f850,Saliou-Ci,sn SEN,"DF,MF"
80,Carl Medjani,/en/players/70c2f41a/Carl-Medjani,70c2f41a,Carl-Medjani,dz ALG,"DF,MF"
81,Abdul Majeed Waris,/en/players/46907171/Abdul-Majeed-Waris,46907171,Abdul-Majeed-Wari,gh GHA,"FW,MF"
82,Jean-Christophe Bahebeck,/en/players/a8be386b/Jean-Christophe-Bahebeck,8be386b,Jean-Christophe-Bahebeck,fr FRA,"FW,MF"
83,Macedo Novaes,/en/players/69ed8229/Macedo-Novaes,69ed8229,Macedo-Nov,br BRA,GK
84,﻿Yunis Abdelhamid,/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Yunis-Abdelhamid,ma MAR,DF
85,Rydell Poepon,/en/players/dccd5092/Rydell-Poepon,dccd5092,Rydell-Poepo,nl NED,"FW,MF"
86,Adama Coulibaly,/en/players/0168069e/Adama-Coulibaly,0168069e,Adama-Coulib,ml MLI,"DF,MF"
87,Fabrice Abriel,/en/players/94ae30a8/Fabrice-Abriel,94ae30a8,Fabrice-Abri,fr FRA,MF
88,Bertrand Laquait,/en/players/ab05bd3c/Bertrand-Laquait,b05bd3c,Bertrand-Laquait,fr FRA,GK
89,Lucas Tousart,/en/players/71ec39ef/Lucas-Tousart,71ec39ef,Lucas-Tousart,fr FRA,MF
90,Paul Charruau,/en/players/2511c7aa/Paul-Charruau,2511c7aa,Paul-Charruau,fr FRA,GK
91,Angelo Fulgini,/en/players/4b96c347/Angelo-Fulgini,4b96c347,Angelo-Fulgini,fr FRA,"FW,MF"
92,Sigamary Diarra,/en/players/9c337a2f/Sigamary-Diarra,9c337a2f,Sigamary-Di,ml MLI,"FW,MF"
93,Jérôme Guihoata,/en/players/b214d86b/Jerome-Guihoata,b214d86b,Jerome-Guihoat,cm CMR,DF
94,Lamine Ndao,/en/players/0e4dc931/Lamine-Ndao,0e4dc931,Lamine-Ndao,sn SEN,FW
95,Abdoul Aziz Kaboré,/en/players/3eecb64a/Abdoul-Aziz-Kabore,3eecb64a,Abdoul-Aziz-Kabo,bf BFA,MF
96,Jean-Luc Dompé,/en/players/9ffdf29a/Jean-Luc-Dompe,9ffdf29a,Jean-Luc-Dom,fr FRA,"FW,MF"
