Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
50,Kevin Harper,/en/players/af21d7af/Kevin-Harper,f21d7af,Kevin-H,sct SCO,FW,Stoke-City
51,Steve Guppy,/en/players/3c05bb47/Steve-Guppy,3c05bb47,Steve-Gu,eng ENG,MF,Stoke-City
52,Martin Paterson,/en/players/53daa1e9/Martin-Paterson,53daa1e9,Martin-Paterso,nir NIR,FW,Stoke-City
53,Carl Hoefkens,/en/players/6d9d883e/Carl-Hoefkens,6d9d883e,Carl-Hoefk,be BEL,DF,Stoke-City
54,Mamady Sidibé,/en/players/c4fe1d3a/Mamady-Sidibe,c4fe1d3a,Mamady-Sidib,ml MLI,FW,Stoke-City
55,Marlon Broomes,/en/players/7040cf47/Marlon-Broomes,7040cf47,Marlon-Broom,eng ENG,DF,Stoke-City
56,Luke Chadwick,/en/players/9c35f696/Luke-Chadwick,9c35f696,Luke-Chadwick,eng ENG,MF,Stoke-City
57,Paul Gallagher,/en/players/9f0fb63c/Paul-Gallagher,9f0fb63c,Paul-Gallagh,sct SCO,"FW,MF",Stoke-City
58,Sambégou Bangoura,/en/players/a8c6d9dd/Sambegou-Bangoura,8c6d9dd,Sambegou-Bangou,gn GUI,"FW,MF",Stoke-City
59,Gabriel N'Galula,/en/players/38a57059/Gabriel-NGalula,38a57059,Gabriel-NGalu,be BEL,MF,Stoke-City
60,Martin Kolář,/en/players/c6875e63/Martin-Kolar,c6875e63,Martin-Ko,cz CZE,"DF,FW",Stoke-City
61,Hannes Sigurðsson,/en/players/1c5668ca/Hannes-Sigurdsson,1c5668ca,Hannes-Sigurdsso,is ISL,FW,Stoke-City
62,Josip Skoko,/en/players/f197aa41/Josip-Skoko,f197aa41,Josip-Skoko,au AUS,MF,Stoke-City
63,Peter Sweeney,/en/players/f6453143/Peter-Sweeney,f6453143,Peter-Sw,sct SCO,MF,Stoke-City
64,Carl Dickinson,/en/players/ddce8cfa/Carl-Dickinson,ddce8cfa,Carl-Dickinso,eng ENG,DF,Stoke-City
65,Peter Kopteff,/en/players/6b365fde/Peter-Kopteff,6b365fde,Peter-Kopteff,fi FIN,MF,Stoke-City
