Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
1161,1,38,25,8,5,83,2002-2003,119,1
1162,2,38,23,9,6,78,2002-2003,120,1
1163,3,38,21,6,11,69,2002-2003,121,1
1164,4,38,19,10,9,67,2002-2003,122,1
1165,5,38,18,10,10,64,2002-2003,123,1
1166,6,38,16,12,10,60,2002-2003,124,1
1167,7,38,17,8,13,59,2002-2003,125,1
1168,8,38,13,13,12,52,2002-2003,126,1
1169,9,38,15,6,17,51,2002-2003,127,1
1170,10,38,14,8,16,50,2002-2003,128,1
1171,11,38,13,10,15,49,2002-2003,129,1
1172,12,38,14,7,17,49,2002-2003,130,1
1173,13,38,13,9,16,48,2002-2003,131,1
1174,14,38,13,9,16,48,2002-2003,132,1
1175,15,38,14,5,19,47,2002-2003,133,1
1176,16,38,12,9,17,45,2002-2003,134,1
1177,17,38,10,14,14,44,2002-2003,135,1
1178,18,38,10,12,16,42,2002-2003,136,1
1179,19,38,6,8,24,26,2002-2003,137,1
1180,20,38,4,7,27,19,2002-2003,138,1
1181,1,38,26,12,0,90,2003-2004,120,1
1182,2,38,24,7,7,79,2003-2004,122,1
1183,3,38,23,6,9,75,2003-2004,119,1
1184,4,38,16,12,10,60,2003-2004,123,1
1185,5,38,13,17,8,56,2003-2004,121,1
1186,6,38,15,11,12,56,2003-2004,134,1
1187,7,38,14,11,13,53,2003-2004,130,1
1188,8,38,14,11,13,53,2003-2004,135,1
1189,9,38,14,10,14,52,2003-2004,132,1
1190,10,38,12,14,12,50,2003-2004,131,1
1191,11,38,13,9,16,48,2003-2004,129,1
1192,12,38,12,11,15,47,2003-2004,126,1
1193,13,38,12,9,17,45,2003-2004,139,1
1194,14,38,13,6,19,45,2003-2004,128,1
1195,15,38,12,8,18,44,2003-2004,124,1
1196,16,38,9,14,15,41,2003-2004,127,1
1197,17,38,9,12,17,39,2003-2004,125,1
1198,18,38,6,15,17,33,2003-2004,140,1
1199,19,38,8,9,21,33,2003-2004,133,1
1200,20,38,7,12,19,33,2003-2004,141,1
1201,1,38,29,8,1,95,2004-2005,122,1
1202,2,38,25,8,5,83,2004-2005,120,1
1203,3,38,22,11,5,77,2004-2005,119,1
1204,4,38,18,7,13,61,2004-2005,125,1
1205,5,38,17,7,14,58,2004-2005,123,1
1206,6,38,16,10,12,58,2004-2005,135,1
1207,7,38,14,13,11,55,2004-2005,129,1
1208,8,38,13,13,12,52,2004-2005,127,1
1209,9,38,14,10,14,52,2004-2005,128,1
1210,10,38,12,11,15,47,2004-2005,134,1
1211,11,38,12,10,16,46,2004-2005,130,1
1212,12,38,11,12,15,45,2004-2005,131,1
1213,13,38,12,8,18,44,2004-2005,132,1
1214,14,38,10,14,14,44,2004-2005,121,1
1215,15,38,9,15,14,42,2004-2005,124,1
1216,16,38,10,9,19,39,2004-2005,139,1
1217,17,38,6,16,16,34,2004-2005,137,1
1218,18,38,7,12,19,33,2004-2005,142,1
1219,19,38,7,12,19,33,2004-2005,143,1
1220,20,38,6,14,18,32,2004-2005,126,1
1221,1,38,29,4,5,91,2005-2006,122,1
1222,2,38,25,8,5,83,2005-2006,119,1
1223,3,38,25,7,6,82,2005-2006,123,1
1224,4,38,20,7,11,67,2005-2006,120,1
1225,5,38,18,11,9,65,2005-2006,128,1
1226,6,38,19,6,13,63,2005-2006,124,1
1227,7,38,17,7,14,58,2005-2006,121,1
1228,8,38,15,11,12,56,2005-2006,135,1
1229,9,38,16,7,15,55,2005-2006,136,1
1230,10,38,15,6,17,51,2005-2006,144,1
1231,11,38,14,8,16,50,2005-2006,125,1
1232,12,38,14,6,18,48,2005-2006,132,1
1233,13,38,13,8,17,47,2005-2006,130,1
1234,14,38,12,9,17,45,2005-2006,129,1
1235,15,38,13,4,21,43,2005-2006,127,1
1236,16,38,10,12,16,42,2005-2006,134,1
1237,17,38,10,8,20,38,2005-2006,139,1
1238,18,38,8,10,20,34,2005-2006,131,1
1239,19,38,7,9,22,30,2005-2006,137,1
1240,20,38,3,6,29,15,2005-2006,138,1
1241,1,38,28,5,5,89,2006-2007,119,1
1242,2,38,24,11,3,83,2006-2007,122,1
1243,3,38,20,8,10,68,2006-2007,123,1
1244,4,38,19,11,8,68,2006-2007,120,1
1245,5,38,17,9,12,60,2006-2007,128,1
1246,6,38,15,13,10,58,2006-2007,125,1
1247,7,38,16,8,14,56,2006-2007,135,1
1248,8,38,16,7,15,55,2006-2007,145,1
1249,9,38,14,12,12,54,2006-2007,139,1
1250,10,38,15,7,16,52,2006-2007,124,1
1251,11,38,11,17,10,50,2006-2007,134,1
1252,12,38,12,10,16,46,2006-2007,129,1
1253,13,38,11,10,17,43,2006-2007,121,1
1254,14,38,11,9,18,42,2006-2007,127,1
1255,15,38,12,5,21,41,2006-2007,136,1
1256,16,38,8,15,15,39,2006-2007,132,1
1257,17,38,10,8,20,38,2006-2007,144,1
1258,18,38,10,8,20,38,2006-2007,146,1
1259,19,38,8,10,20,34,2006-2007,130,1
1260,20,38,5,13,20,28,2006-2007,147,1
1261,1,38,27,6,5,87,2007-2008,119,1
1262,2,38,25,10,3,85,2007-2008,122,1
1263,3,38,24,11,3,83,2007-2008,120,1
1264,4,38,21,13,4,76,2007-2008,123,1
1265,5,38,19,8,11,65,2007-2008,125,1
1266,6,38,16,12,10,60,2007-2008,134,1
1267,7,38,15,13,10,58,2007-2008,124,1
1268,8,38,16,9,13,57,2007-2008,139,1
1269,9,38,15,10,13,55,2007-2008,127,1
1270,10,38,13,10,15,49,2007-2008,136,1
1271,11,38,11,13,14,46,2007-2008,128,1
