Id,Player,Position,Nationality_id
314,Raúl Navas,DF,1
315,Juanmi,"FW,MF",1
316,David Concha,MF,1
317,Kévin Rodrigues,DF,3
318,Jon Guridi,MF,1
319,Adnan Januzaj,"FW,MF",27
320,Miguel Ángel Moyá,GK,1
321,Héctor Moreno,DF,20
322,Andoni Gorosabel,DF,1
323,Ander Guevara,MF,1
324,Andoni Zubiaurre,GK,1
325,Mikel Merino,MF,1
326,Luca Sangalli,MF,1
327,Aihen Muñoz,DF,1
328,Sandro Ramírez,"MF,FW",1
329,Ander Barrenetxea,MF,1
330,Robin Le Normand,DF,4
331,Alex Sola,DF,1
332,Roberto López,MF,1
333,Martín Zubimendi,MF,1
334,Martín Merquelanz,MF,1
335,Naïs Djouahra,MF,4
336,Zourdine Mouhemed Thior,FW,34
337,Nacho Monreal,DF,1
338,Portu,"MF,FW",1
339,Álex Remiro,GK,1
340,Alexander Isak,FW,41
341,Jon Pacheco,DF,1
342,Aritz Arambarri,DF,1
343,Julen Lobete,FW,1
344,Modibo Sagnan,DF,4
345,David Silva,MF,1
346,Carlos Fernández,"FW,MF",1
347,Urko González,MF,1
348,Roberto Navarro,MF,1
349,Gaizka Ayesa,GK,1
350,Jérémy Blasco,DF,4
351,Unai Marrero,GK,1
352,Olasagasti,MF,1
353,Alexander Sørloth,FW,21
354,Diego Rico,DF,1
355,Rafinha,MF,2
356,Mathew Ryan,GK,42
357,Beñat Turrientes,MF,1
358,Ander Martin,MF,1
359,Germán Valera,"FW,MF",1
360,Cristo,DF,1
361,Jonathan Gomez,DF,20
362,Jon Karrikaburu,FW,1
363,﻿Roy Makaay,FW,11
364,Sergio,MF,1
365,Mauro Silva,MF,2
366,Enrique Romero,DF,1
367,Juanmi,GK,1
368,Fran,MF,1
369,Lionel Scaloni,"DF,MF",5
370,Víctor Sánchez,MF,1
371,Noureddine Naybet,DF,26
372,César Martín,DF,1
373,Héctor Berenguel,DF,1
374,Aldo Duscher,MF,5
375,Diego Tristán,FW,1
376,Juan Carlos Valerón,MF,1
377,Donato,"DF,MF",1
378,Joan Capdevila,DF,1
379,Jorge Andrade,DF,3
380,José Amavisca,"FW,MF",1
381,José Molina,GK,1
382,Manuel Pablo,DF,1
383,Albert Luque,"FW,MF",1
384,Dani Mallo,GK,1
385,Roberto Acuña,MF,43
386,Goran Đorović,DF,28
387,Walter Pandiani,FW,8
388,Pedro Munitis,FW,1
389,Pablo Amo,DF,1
390,Gustavo Munúa,GK,8
391,Djalminha,"FW,MF",2
392,Iván Pérez Muñoz,FW,1
393,Jacques Songo'o,GK,36
394,Fabricio Coloccini,"DF,MF",5
395,Xisco,FW,1
396,Changui,FW,1
397,Carlos Pita,"DF,MF",1
398,Juanma,DF,1
399,Julian de Guzmán,MF,44
400,Rubén Castro,"FW,MF",1
401,Javier Arizmendi,"FW,MF",1
402,Iago Iglesias,MF,1
403,Iván Carril,"FW,MF",1
404,Francisco Gallardo,MF,1
405,Momo,MF,1
406,Senel,"FW,MF",1
407,Sebastián Taborda,FW,8
408,Jesús Muñoz,MF,1
409,﻿Dudu Aouate,GK,45
410,Alberto Lopo,DF,1
411,Riki,FW,1
412,Juan Rodríguez,MF,1
413,Fabián Estoyanoff,"FW,MF",8
414,Antonio Barragán,"DF,MF",1
415,Joan Verdú,MF,1
416,Filipe Luís,DF,2
417,Adrián López,"FW,MF",1
418,Pablo Álvarez,MF,1
419,Rodolfo Bodipo,FW,10
420,Rubén Rivera,FW,1
421,Rodri,DF,1
422,Andrés Guardado,"DF,FW",20
423,Ángel Lafita,"FW,MF",1
424,Adrián López,DF,1
425,Christian Wilhelmsson,MF,41
426,Antonio Tomás,MF,1
427,Cristian Hidalgo,"FW,MF",1
428,Fabricio,GK,1
429,Aythami Artiles,DF,1
430,Laure,DF,1
431,Chapi,DF,1
432,Daniel Aranzubia,GK,1
433,Zé Castro,DF,3
434,Lassad Nouioui,FW,46
435,Diego Colotto,DF,5
436,Mista,FW,1
437,Omar Bravo,FW,20
438,Juca,MF,2
439,Juan Domínguez,MF,1
440,Raúl García,DF,1
441,Iván Pérez Maceira,MF,1
442,David Rochela,DF,1
443,Manu,GK,1
444,David Añón,FW,1
445,Diego Seoane,DF,1
446,Rubén Pérez,MF,1
447,Claudio Morel Rodríguez,DF,43
448,Yves Desmarets,MF,47
449,Saúl,MF,1
450,Míchel,MF,1
451,Jonathan Urretaviscaya,"FW,MF",8
452,Knut Olav Rindarøy,DF,21
453,José Sand,FW,5
454,Dioni,FW,1
455,﻿Álex Bergantiños,MF,1
456,Bruno Gama,"FW,MF",3
457,Ayoze Díaz Díaz,"DF,MF",1
458,Diogo Salomão,"FW,MF",3
459,Jesús Vázquez,MF,1
460,Germán Lux,GK,5
461,Juan Carlos,"FW,MF",1
462,Pizzi,"FW,MF",3
463,Abel Aguilar,MF,19
464,Carlos Marchena,"DF,MF",1
465,Sílvio,DF,3
466,Evaldo Fabiano,DF,2
467,Paulo Assunção,MF,2
468,Kaká,DF,2
469,Javier Camuñas,"FW,MF",1
470,André Santos,MF,3
471,Roderick Miranda,DF,3
472,Nélson Oliveira,FW,3
473,Pablo Insua,DF,1
474,Tiago Pinto,DF,3
475,Luisinho,DF,3
476,Borja Bastón,FW,1
477,Emmanuel Culio,MF,5
478,Bryan Rabello,MF,31
479,Cezary Wilk,MF,14
480,Luis Fernández,"FW,MF",1
481,Ibrahim Sissoko,FW,35
482,Rudy,"FW,MF",48
483,Toché,FW,1
484,David Díaz Mangano,MF,1
485,Uxío Marcos,DF,1
486,Paulo Teles,MF,3
487,Edu Sousa,GK,1
488,Sidnei,DF,2
489,Lucas Pérez,"FW,MF",1
490,Oriol Riera,FW,1
491,Celso Borges,"FW,MF",22
492,Haris Medunjanin,MF,49
493,Luis Fariña,"FW,MF",5
494,Isaac Cuenca,"FW,MF",1
495,Hélder Postiga,FW,3
496,Roberto Canella,DF,1
497,Modibo Diakité,DF,4
498,Hélder Costa,"FW,MF",48
499,David Gómez,GK,1
500,Dani Iglesias,FW,1
501,Borja López,DF,1
502,Iago López,DF,1
503,Marcos Remeseiro,MF,1
504,Fayçal Fajr,MF,26
505,Alejandro Arribas,DF,1
506,Luis Alberto,"MF,FW",1
507,Federico Cartabia,"MF,FW",5
508,Cani,MF,1
509,Jonathan Rodríguez,FW,8
510,Jonás Gutiérrez,MF,5
511,Stipe Pletikosa,GK,16
512,Rober,DF,1
513,Miguel Filipe Nunes Cardoso,"FW,MF",3
514,Pinchi,"FW,MF",1
515,Emre Çolak,MF,15
516,Raúl Albentosa,DF,1
517,Guilherme,MF,2
518,Fernando Navarro,DF,1
519,Carles Gil,MF,1
520,Przemysław Tytoń,GK,14
521,Marlos Moreno,"MF,FW",19
522,Gaël Kakuta,MF,50
523,Ryan Babel,"MF,FW",11
524,Ola John,"MF,FW",11
525,Borja Valle,MF,1
526,Davy Roef,GK,27
527,Edu Expósito,MF,1
528,Nacho Monsalve,DF,1
529,Rubén,GK,1
530,Fabian Schär,DF,39
531,Florin Andone,FW,51
532,Zakaria Bakkali,MF,27
533,Michael Krohn-Dehli,MF,7
534,Eneko Bóveda,DF,1
535,Costel Pantilimon,GK,51
536,Sulley Muntari,MF,17
537,Francis Uzoho,GK,52
538,Gerard Valentín,"DF,MF",1
539,Maksym Koval,GK,29
540,Mujaid Sadick,DF,1
541,Quique Fornos,DF,1
542,﻿Dani Giménez,GK,1
543,Domingos Duarte,DF,3
544,Pablo Marí,DF,1
545,Quique,FW,1
546,David Simón,DF,1
547,Vicente Gómez,MF,1
548,Diego Caballo Alonso,DF,1
549,Saúl García,DF,1
550,Pedro,"MF,FW",1
551,Didier Moreno,MF,19
552,Christian Santos,FW,53
553,Michele Somma,DF,9
554,Matías Nahuel,"MF,FW",1
555,Vítor,FW,3
556,Joni Montiel,MF,1
557,Íñigo López,DF,1
558,Adrián Ortolá,GK,1
559,Sebastián Dubarbier,"DF,FW",5
560,Ager Aketxe,"MF,FW",1
561,Victor Mollejo,"MF,FW",1
562,Francisco Montero,DF,1
563,Peru Nolaskoain,"MF,DF",1
564,Gaku Shibasaki,MF,54
565,Salva Ruiz,"DF,MF",1
566,Vassilis Lambropoulos,DF,55
567,Mamadou Koné,"FW,MF",35
568,Sabin Merino,FW,1
569,Luis Ruiz Sayago,DF,1
570,Samuele Longo,FW,9
571,Borja Galán,"MF,FW",1
572,Uche Henry Agbo,MF,52
573,Claudio Beauvue,"FW,MF",56
574,Saša Jovanović,"MF,FW",28
575,Hugo Vallejo,"MF,FW",1
576,Jorge Valín,"MF,DF",1
577,Keko,MF,1
578,Aleksandar Jovanović,GK,28
579,Beto da Silva,"FW,MF",57
580,Yago Gandoy,MF,1
581,David Sánchez,DF,1
582,Tomás Bourdal,DF,5
583,Álex Cobo,GK,1
584,Juan Rodríguez,DF,1
585,Alberto Sánchez,GK,1
586,Javi Sánchez,MF,1
587,Koke Vegas,GK,1
588,Luis Alberto García Pacheco,GK,19
589,José Alonso Lara,MF,1
590,Rui Costa,FW,3
591,Mosquera,MF,1
592,Borja Granero,DF,1
593,Juan Ignacio González Brazeiro,MF,8
594,Derik Osede,DF,1
595,Diego Rolán,"FW,MF",8
596,Miku,FW,53
597,Carlos Abad,GK,1
598,Iván Guerrero,DF,1
599,Yeremay Hernández,MF,1
600,﻿Diego Aguirre,DF,1
601,Josep Calavera,MF,1
602,Rafael de Vicente Hernández,MF,1
603,Trilli,DF,1
604,Noel López,FW,1
605,Pablo Trigueros,DF,1
606,Mario Soriano,MF,1
607,Pablo Brea,GK,1
608,William,MF,2
609,Ian Mackay,GK,58
610,Carlos Doncel,MF,1
611,Juan Carlos Menudo Domínguez,MF,1
612,Villares,FW,1
613,Víctor García,MF,1
614,Adrián Lapeña,DF,1
615,Alberto Benito,DF,1
616,﻿Pablo Cavallero,GK,5
617,Peter Luccin,MF,4
618,Fernando Cáceres,DF,5
619,Edu,"FW,MF",2
620,Juan Velasco Damas,DF,1
621,Gustavo López,"FW,MF",5
622,Sylvinho,DF,2
623,José Ignacio,MF,1
624,Eduardo Berizzo,DF,5
625,Aleksandr Mostovoi,MF,23
626,Catanha,FW,1
627,Juanfran,DF,1
628,Ángel López,"DF,MF",1
629,Sergio,DF,1
630,Everton Giovanella,MF,2
631,Vágner,MF,2
632,Mido,FW,59
633,Sebastián Méndez,DF,5
634,Eduardo Coudet,MF,5
635,Benni McCarthy,FW,60
636,José Manuel Pinto,GK,1
637,Pablo Coira,DF,1
638,Jorge Rodríguez,DF,1
639,Doriva,MF,2
640,Iván Kaviedes,FW,61
641,José Juan Figueras,GK,1
642,Jandro,MF,1
643,﻿Savo Milošević,FW,28
644,Saša Ilić,MF,28
645,Borja Oubiña,MF,1
646,Pablo Contreras,DF,31
647,Israel Delgado,DF,1
648,Jonathan Aspas,MF,1
649,Iago Bouzón,DF,1
650,Mauricio Pinilla,FW,31
651,Manolo Sánchez,MF,1
652,Nacho Franco,FW,1
653,Fabián Canobbio,MF,8
654,Zisis Vryzas,FW,55
655,Txomin Nagore,MF,1
656,Capucho,MF,3
657,Roger Guerreiro,MF,14
658,Facundo Sava,FW,5
659,José Jesús Perera,FW,1
660,Yago Yao,DF,10
661,Toni Moral,MF,1
662,Juan Sánchez,FW,1
663,Orlando Quintana,GK,1
664,Fernando Baiano,FW,2
665,Matías Lequi,DF,5
666,Iriney,MF,2
667,Diego Placente,DF,5
668,Jorge Larena,MF,1
669,José Enrique,DF,1
670,Daniël de Ridder,"FW,MF",11
671,Javi Guerrero,FW,1
672,Roberto Sousa,"DF,MF",2
673,Esteban,GK,1
674,﻿Nenê,"FW,MF",2
675,Gabriel Tamaș,DF,51
676,Habib Bamogo,FW,62
677,Antonio Guayre,"FW,MF",1
678,Jonathan Vila,"DF,MF",1
679,George Lucas Coser,DF,2
680,Miguel Areias,DF,3
681,Dani Abalo,"FW,MF",1
682,Roberto Lago,"DF,MF",1
683,Vitolo,MF,1
684,Agus,"DF,FW",1
685,Diego Costa,FW,1
686,Quincy Owusu-Abeyie,"FW,MF",17
687,Ioannis Okkas,FW,63
688,Michu,"FW,MF",1
689,Mario Suárez,MF,1
690,Ariel Rosada,MF,5
691,Juan Manuel Peña,DF,64
692,Julián Vara,"DF,FW",1
693,Fernando Sales,MF,1
694,Vladimir Manchev,FW,65
695,Noel Alonso,DF,1
696,Petar Zanev,DF,65
697,Adrián González,MF,1
698,Richy,DF,1
699,Ferrán Tacón,MF,1
700,Goran Marić,FW,1
701,Dinei,FW,2
702,Antonio Notario,GK,1
703,Edu Moya,"DF,MF",1
704,Kamel Ghilas,FW,37
705,Roberto Trashorras,MF,1
706,David Rodríguez,FW,1
707,Óscar Díaz,"FW,MF",1
708,Francisco Noguerol,DF,1
709,Fernando Fajardo,DF,8
710,Jordi,DF,1
711,Renan Garcia,MF,2
712,Ismael Falcón,GK,1
713,Fabiano,DF,2
714,Danilo Sacramento,MF,2
715,Māris Verpakovskis,"FW,MF",66
716,Candela,MF,1
717,﻿Aritz López Garai,MF,1
718,Vasco Fernandes,DF,3
719,Cristian Bustos,MF,1
720,David Català,DF,1
721,Hugo Mallo,DF,1
722,Pedro Botelho,"DF,MF",2
723,Andrés Túñez,DF,53
724,Dimitris Papadopoulos,FW,55
725,Saulo,FW,2
726,Toni Dovale,"DF,MF",1
727,Yoel,GK,1
728,Gastón Cellerino,FW,5
729,Arthuro,FW,2
730,Aarón Ñíguez,"FW,MF",1
731,Sergio Ortega,DF,1
732,Álex López,MF,1
733,Mateo Míguez Adán,FW,1
734,Víctor Vázquez,DF,1
735,Enrique de Lucas,"FW,MF",1
736,Ander Murillo,DF,1
737,Iago Aspas,"FW,MF",1
738,Joan Tomàs,"FW,MF",1
739,Jota,MF,1
740,Sergio Álvarez,GK,1
741,Víctor Fernández,DF,1
742,David Soto Sánchez,DF,1
743,Ikechi Anya,"FW,MF",67
744,Oier Sanjurjo,"DF,MF",1
745,Fabián Orellana,"FW,MF",31
746,Mario Bermejo,FW,1
747,Natxo Insa,MF,68
748,Carlos Bellvís,DF,1
749,Augusto Fernández,MF,5
750,Javi Varas,GK,1
751,Gustavo Cabral,DF,5
752,Jonny Castro,"DF,MF",1
753,Park Chu-young,"FW,MF",30
754,Danijel Pranjić,"DF,MF",16
755,Lévy Madinda,MF,69
756,Rubén Blanco,GK,1
757,Samuel Llorca,DF,1
758,Santi Mina,FW,1
759,Andreu Fontàs,DF,1
760,Charles,FW,2
761,Nolito,"FW,MF",1
762,Jon Aurtenetxe,DF,1
763,David Costas,DF,1
764,David Goldar,DF,1
765,Welliton,FW,2
766,Joaquín Larrivey,FW,5
767,Nemanja Radoja,"DF,MF",28
768,Pablo Hernández,"FW,MF",31
769,Sergi Gómez,DF,1
770,Carles Planas,DF,1
771,Borja Fernández,MF,1
772,Theo Bongonda,"FW,MF",50
773,Borja Iglesias,FW,1
774,Diego Alende,DF,1
775,Samu Araújo,DF,1
776,Pape Cheikh Diop,MF,34
777,Kevin Vázquez,DF,1
778,Daniel Wass,MF,7
779,John Guidetti,FW,41
780,Marcelo Díaz,MF,31
781,Josep Señé,"MF,FW",1
782,Dejan Dražić,MF,28
783,Néstor Díaz,GK,1
784,﻿Facundo Roncaglia,DF,5
785,Pione Sisto,"MF,FW",7
786,Jozabed,MF,1
787,Giuseppe Rossi,FW,9
788,Álvaro Lemos,"DF,MF",1
789,Andrew Hjulsager,MF,7
790,Iván Villar,GK,1
791,Naranjo,"FW,MF",1
792,Maxi Gómez,FW,8
793,Stanislav Lobotka,MF,70
794,Brais Méndez,"MF,FW",1
795,Emre Mor,"FW,MF",15
796,Róbert Mazáň,DF,70
797,Daniel Molina Orta,MF,1
798,Francisco Barbosa,GK,1
799,Dennis Eckert,FW,13
800,Diego Pampín,DF,1
801,Víctor Pastrana,MF,1
802,Daniel Sotres,GK,1
803,Néstor Araujo,DF,20
804,Okay Yokuşlu,MF,15
805,Sofiane Boufal,MF,26
806,David Juncà,DF,1
807,Fran Beltrán,MF,1
808,Lucas Olaza,DF,8
809,Wesley Hoedt,DF,11
810,Ryad Boudebouz,MF,37
811,Júnior Alonso,"DF,MF",43
812,Mathias Jensen,MF,7
813,Emmanuel Apeh,"FW,MF",52
814,Joseph Aidoo,DF,17
815,Denis Suárez,"MF,FW",1
816,Jeison Murillo,DF,19
817,Filip Bradarić,MF,16
818,Gabriel Fernández,"FW,MF",8
819,Jorge Sáenz,DF,1
820,Juan Hernández,"FW,MF",1
821,Jacobo,"DF,MF",1
822,Losada,"MF,FW",1
823,Sergio Bermejo,MF,1
824,Sergio Carreira,DF,1
825,Iago Domínguez,GK,1
826,José Fontán,DF,1
827,Dragan Rosić,GK,28
828,Renato Tapia,MF,57
829,Aarón Martín,DF,1
830,Miguel Baeza,"MF,FW",1
831,Carlos Dominguez,DF,1
832,Augusto Solari,MF,5
833,Facundo Ferreyra,FW,5
834,Gabriel Veiga,"MF,DF",1
835,Jordan Holsgrove,MF,67
836,Alfon,MF,1
837,Miguel Rodríguez,"FW,MF",1
838,Lauti,FW,8
839,Hugo Sotelo,MF,1
840,Gael Alonso,DF,1
841,Raúl Blanco,MF,1
842,Álvaro Fernández,GK,1
843,Patrick Sequeira,GK,22
844,Álvaro Vadillo,"FW,MF",1
845,﻿Matías Dituro,GK,5
846,Javi Galán,DF,1
847,Franco Cervi,MF,5
848,Thiago Galhardo,"FW,MF",2
