id;year;league_id;rank;point;nb_match;nb_team;year_1_point;year_2_point;year_3_point;year_4_point
63;2014;3;3;81.641;60;7;17.928;15.25;15.666;18.083
64;2014;5;4;66.938;58;6;14.416;11.357;11.571;15.428
65;2014;2;6;56.5;44;6;11.75;10.5;10.75;15.0
66;2015;4;1;99.999;76;7;23.0;17.714;20.857;18.214
67;2015;1;2;80.391;58;7;16.785;16.428;15.25;18.357
68;2015;3;3;79.415;62;7;14.714;17.928;15.25;15.666
69;2015;5;4;70.51;79;6;14.166;14.416;11.357;11.571
70;2015;2;6;52.416;50;6;8.5;11.75;10.5;10.75
71;2016;4;1;105.713;93;7;20.214;23.0;17.714;20.857
72;2016;3;2;80.177;72;7;15.857;14.714;17.928;15.25
73;2016;1;3;76.284;75;8;13.571;16.785;16.428;15.25
74;2016;5;4;70.439;46;6;19.0;14.166;14.416;11.357
75;2016;2;6;52.749;56;6;10.916;8.5;11.75;10.5
76;2017;4;1;104.998;75;7;23.928;20.214;23.0;17.714
77;2017;3;2;79.498;60;7;16.428;15.857;14.714;17.928
78;2017;1;3;75.962;61;7;14.25;13.571;16.785;16.428
79;2017;5;4;73.332;57;6;11.5;19.0;14.166;14.416
80;2017;2;5;56.665;58;6;11.083;10.916;8.5;11.75
81;2018;4;1;106.998;80;7;20.142;23.928;20.214;23.0
82;2018;1;2;79.605;73;7;14.928;14.25;13.571;16.785
83;2018;5;3;76.249;66;6;14.25;11.5;19.0;14.166
84;2018;3;4;71.427;56;7;14.571;16.428;15.857;14.714
85;2018;2;5;56.415;57;6;14.416;11.083;10.916;8.5
86;2019;4;1;103.569;78;7;19.714;20.142;23.928;20.214
87;2019;1;2;85.462;82;7;20.071;14.928;14.25;13.571
88;2019;5;3;74.725;60;7;17.333;14.25;11.5;19.0
89;2019;3;4;71.927;64;7;9.857;14.571;16.428;15.857
90;2019;2;5;58.498;50;6;11.5;14.416;11.083;10.916
91;2020;4;1;102.283;69;7;19.571;19.714;20.142;23.928
92;2020;1;2;90.462;70;7;22.642;20.071;14.928;14.25
