,Player,Link,Player_name(param),Player_id(param)
61,Luca Rigoni,/en/players/4dba2a97/Luca-Rigoni,Luca-Rigoni,4dba2a97
62,Lampros Choutos,/en/players/0a296ab6/Lampros-Choutos,Lampros-Choutos,0a296ab6
63,Ivan Castiglia,/en/players/7b13808f/Ivan-Castiglia,Ivan-Castiglia,7b13808f
64,Iacopo Balestri,/en/players/4ad656c1/Iacopo-Balestri,Iacopo-Balestri,4ad656c1
65,Alessandro Zoppetti,/en/players/58df0e57/Alessandro-Zoppetti,Alessandro-Zoppetti,58df0e57
66,Antonino Saviano,/en/players/91f5aac3/Antonino-Saviano,Antonino-Saviano,91f5aac3
67,Fabio Ceravolo,/en/players/4cc93246/Fabio-Ceravolo,Fabio-Ceravolo,4cc93246
68,Antonino Barillà,/en/players/a64cbd35/Antonino-Barilla,Antonino-Barilla,a64cbd35
69,Bruno Lança Andrade,/en/players/fc47fb26/Bruno-Lanca-Andrade,Bruno-Lanca-Andrade,fc47fb26
70,Gaetano Ungaro,/en/players/88344251/Gaetano-Ungaro,Gaetano-Ungaro,88344251
71,﻿Rolando Bianchi,/en/players/11fcbfe7/Rolando-Bianchi,Rolando-Bianchi,11fcbfe7
72,Salvatore Aronica,/en/players/a060cd8e/Salvatore-Aronica,Salvatore-Aronica,a060cd8e
73,Daniele Amerini,/en/players/a6d1a2fe/Daniele-Amerini,Daniele-Amerini,a6d1a2fe
74,Luca Tognozzi,/en/players/a2fa83ee/Luca-Tognozzi,Luca-Tognozzi,a2fa83ee
75,Pasquale Foggia,/en/players/9255af5d/Pasquale-Foggia,Pasquale-Foggia,9255af5d
76,Palmiro Di Dio,/en/players/02af0463/Palmiro-Di-Dio,Palmiro-Di-Dio,02af0463
77,Riccardo Nardini,/en/players/ca07c669/Riccardo-Nardini,Riccardo-Nardini,ca07c669
78,Christian Puggioni,/en/players/b39dfab0/Christian-Puggioni,Christian-Puggioni,b39dfab0
79,Alessandro Gazzi,/en/players/63d2a792/Alessandro-Gazzi,Alessandro-Gazzi,63d2a792
80,Leonel Ríos,/en/players/51c43eb8/Leonel-Rios,Leonel-Rios,51c43eb8
81,Nicki Bille Nielsen,/en/players/c0a57418/Nicki-Bille-Nielsen,Nicki-Bille-Nielsen,c0a57418
82,﻿Andrea Campagnolo,/en/players/1e13e03e/Andrea-Campagnolo,Andrea-Campagnolo,1e13e03e
83,Carlos Valdez,/en/players/bd136217/Carlos-Valdez,Carlos-Valdez,bd136217
84,Édgar Barreto,/en/players/43a1bea5/Edgar-Barreto,Edgar-Barreto,43a1bea5
85,Emmanuel Cascione,/en/players/b206fa4d/Emmanuel-Cascione,Emmanuel-Cascione,b206fa4d
86,Franco Brienza,/en/players/aff058a4/Franco-Brienza,Franco-Brienza,aff058a4
87,Emil Hallfreðsson,/en/players/86015b20/Emil-Hallfredsson,Emil-Hallfredsson,86015b20
88,Pablo Álvarez,/en/players/47d82c6c/Pablo-Alvarez,Pablo-Alvarez,47d82c6c
89,Stephen Makinwa,/en/players/9bafb175/Stephen-Makinwa,Stephen-Makinwa,9bafb175
90,Joelson,/en/players/b4a8f5fb/Joelson,Joelson,b4a8f5fb
91,Andrea Costa,/en/players/f5e9a8bd/Andrea-Costa,Andrea-Costa,f5e9a8bd
92,Nicolò Cherubin,/en/players/88189b42/Nicolo-Cherubin,Nicolo-Cherubin,88189b42
93,Nenad Novaković,/en/players/d2fb7ba2/Nenad-Novakovic,Nenad-Novakovic,d2fb7ba2
94,Mike Tullberg,/en/players/b096bd35/Mike-Tullberg,Mike-Tullberg,b096bd35
95,Kris Stadsgaard,/en/players/97d65d8e/Kris-Stadsgaard,Kris-Stadsgaard,97d65d8e
96,Cristhian Stuani,/en/players/220c11f1/Cristhian-Stuani,Cristhian-Stuani,220c11f1
97,José Montiel,/en/players/954498a3/Jose-Montiel,Jose-Montiel,954498a3
98,﻿Andrea Costa,/en/players/f5e9a8bd/Andrea-Costa,Andrea-Costa,f5e9a8bd
99,Carlos Carmona,/en/players/12b9753e/Carlos-Carmona,Carlos-Carmona,12b9753e
100,Bernardo Corradi,/en/players/d50232c1/Bernardo-Corradi,Bernardo-Corradi,d50232c1
101,Gleison Santos,/en/players/14073d2c/Gleison-Santos,Gleison-Santos,14073d2c
102,Andrea Campagnolo,/en/players/1e13e03e/Andrea-Campagnolo,Andrea-Campagnolo,1e13e03e
103,Alessio Sestu,/en/players/02895818/Alessio-Sestu,Alessio-Sestu,02895818
104,Davide Di Gennaro,/en/players/951a4ee4/Davide-Di-Gennaro,Davide-Di-Gennaro,951a4ee4
105,Matej Krajčík,/en/players/247d32d7/Matej-Krajcik,Matej-Krajcik,247d32d7
106,Daniel Adejo,/en/players/385fa8ec/Daniel-Adejo,Daniel-Adejo,385fa8ec
107,Đorđe Rakić,/en/players/b65b52ff/Djordje-Rakic,Djordje-Rakic,b65b52ff
108,Nicolas Viola,/en/players/45392b06/Nicolas-Viola,Nicolas-Viola,45392b06
109,Pietro Marino,/en/players/0f3920d5/Pietro-Marino,Pietro-Marino,0f3920d5
110,Vincenzo Camilleri,/en/players/a41330c4/Vincenzo-Camilleri,Vincenzo-Camilleri,a41330c4
111,Josias Basso,/en/players/524ae994/Josias-Basso,Josias-Basso,524ae994
112,Alessio Viola,/en/players/1a3de1e0/Alessio-Viola,Alessio-Viola,1a3de1e0
113,﻿Simone Rizzato,/en/players/7111521e/Simone-Rizzato,Simone-Rizzato,7111521e
114,Biagio Pagano,/en/players/19639241/Biagio-Pagano,Biagio-Pagano,19639241
