Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿José Moratón,es ESP,DF,34,34,0.0,3.0,2002-2003,f197b95a,Racing-Santander,"3,016",33.5,8.0,0.0,52.0,1.0,2829.0,Racing-Santander
,Juanma,es ESP,DF,32,32,2.0,1.0,2002-2003,209581c1,Racing-Santander,"2,880",32.0,11.0,0.0,52.0,1.0,,Racing-Santander
,Pedro Munitis,es ESP,FW,30,30,3.0,8.0,2002-2003,61b5cd53,Racing-Santander,"2,624",29.2,6.0,0.0,52.0,1.0,,Racing-Santander
,Javi Guerrero,es ESP,FW,35,29,8.0,15.0,2002-2003,bd4345ec,Racing-Santander,"2,392",26.6,3.0,0.0,52.0,1.0,,Racing-Santander
,Erwin Lemmens,be BEL,GK,27,27,0.0,0.0,2002-2003,7a1a4c9,Racing-Santander,"2,358",26.2,3.0,1.0,52.0,27.0,2830.0,Racing-Santander
,Mehdi Nafti,tn TUN,MF,31,26,0.0,2.0,2002-2003,93e31883,Racing-Santander,"2,374",26.4,15.0,1.0,52.0,46.0,,Racing-Santander
,Diego Mateo,ar ARG,"DF,MF",25,25,3.0,0.0,2002-2003,6ff0efaa,Racing-Santander,"2,128",23.6,7.0,0.0,52.0,5.0,,Racing-Santander
,Javi Pineda,es ESP,DF,24,21,0.0,0.0,2002-2003,4f3c2c52,Racing-Santander,"1,912",21.2,4.0,0.0,52.0,1.0,2831.0,Racing-Santander
,Yossi Benayoun,il ISR,MF,31,21,4.0,4.0,2002-2003,8414bb13,Racing-Santander,"1,848",20.5,1.0,0.0,52.0,45.0,2832.0,Racing-Santander
,Mario Regueiro,uy URU,"FW,MF",32,20,1.0,5.0,2002-2003,c792d665,Racing-Santander,"1,977",22.0,7.0,0.0,52.0,8.0,,Racing-Santander
,Ismael Ruiz,es ESP,MF,25,20,0.0,1.0,2002-2003,13401e74,Racing-Santander,"1,798",20.0,6.0,0.0,52.0,1.0,,Racing-Santander
,Neru,es ESP,DF,19,18,0.0,0.0,2002-2003,1c8dd214,Racing-Santander,"1,631",18.1,6.0,1.0,52.0,1.0,2834.0,Racing-Santander
,Sietes,es ESP,DF,17,17,3.0,0.0,2002-2003,bae8225f,Racing-Santander,"1,482",16.5,5.0,0.0,52.0,1.0,2835.0,Racing-Santander
,David Coromina,es ESP,DF,16,16,0.0,0.0,2002-2003,bb603172,Racing-Santander,"1,419",15.8,7.0,1.0,52.0,1.0,2836.0,Racing-Santander
,Rodolfo Bodipo,gq EQG,FW,25,16,4.0,9.0,2002-2003,6cf2bc0e,Racing-Santander,"1,346",15.0,2.0,1.0,52.0,10.0,,Racing-Santander
,Txiki,es ESP,MF,21,12,1.0,0.0,2002-2003,c52d35e,Racing-Santander,961,10.7,0.0,0.0,52.0,1.0,2837.0,Racing-Santander
,José María Ceballos,es ESP,GK,10,9,0.0,0.0,2002-2003,60bed8c0,Racing-Santander,882,9.8,0.0,0.0,52.0,1.0,2838.0,Racing-Santander
,Pablo Casar,es ESP,DF,10,9,1.0,3.0,2002-2003,6c5d2f,Racing-Santander,787,8.7,1.0,1.0,52.0,1.0,,Racing-Santander
,Pablo Lago,es ESP,MF,11,7,0.0,0.0,2002-2003,1a94953,Racing-Santander,475,5.3,2.0,0.0,52.0,1.0,2839.0,Racing-Santander
,Pablo Sierra,es ESP,MF,8,6,0.0,1.0,2002-2003,224f3a5f,Racing-Santander,564,6.3,0.0,0.0,52.0,1.0,2840.0,Racing-Santander
,Diego Alonso,uy URU,FW,23,5,0.0,1.0,2002-2003,21a7914b,Racing-Santander,714,7.9,3.0,0.0,52.0,8.0,,Racing-Santander
,Fernando Morán,es ESP,MF,8,4,1.0,0.0,2002-2003,0fce6e4c,Racing-Santander,400,4.4,2.0,0.0,52.0,1.0,2841.0,Racing-Santander
,Sergio Matabuena,es ESP,MF,12,3,0.0,0.0,2002-2003,93faf8c3,Racing-Santander,338,3.8,2.0,0.0,52.0,1.0,,Racing-Santander
